Dataset,Model,Primary,Accuracy,EM,F1,ROUGE-L,Total
teleqna,GPT-OSS-20B,Accuracy,75.71,75.71,84.66744939787642,84.75423091356586,10000
teleqna,Mistral3-8B,Accuracy,70.57,70.57,77.1582907988205,77.0889168689022,10000
teleqna,Llama-3.1-8B,Accuracy,66.42,66.42,78.49063808160956,78.7088923847042,10000
teleqna,Qwen3-8B,Accuracy,73.33,73.33,82.97794671422804,83.10174346747262,10000
telequad,GPT-OSS-20B,F1,,41.62764771460424,71.72402095746497,71.5994016373949,4485
telequad,Mistral3-8B,F1,,39.576365663322186,68.09738455115367,67.65731364530264,4485
telequad,Llama-3.1-8B,F1,,30.81382385730212,65.20639630964844,65.06813759324214,4485
telequad,Qwen3-8B,F1,,34.09141583054627,68.80337317334633,68.48433734577154,4485
netbench,GPT-OSS-20B,F1,,0.035137034434293744,24.71072595409595,22.129779202975126,5692
netbench,Mistral3-8B,F1,,0.017568517217146872,21.521039704153626,16.99692652955106,5692
netbench,Llama-3.1-8B,F1,,0.10541110330288123,24.255372329816556,19.63142383088911,5692
netbench,Qwen3-8B,F1,,0.017568517217146872,24.398430776779396,20.94484260724196,5692
