model,lab,lab_label,samples,type_aware_accuracy,exact_match,token_f1,bleu,bertscore_f1,rouge1,rouge2,rougeL,L1,L2,L3,L4,L5,map,numeric,number,set,text,ok_accuracy,strict_negative_accuracy,semantic_negative_accuracy,contract_compliance,negative_gap,duration_sec,throughput,language,decoding_mode,source_path,analyzed_path
GPT-4o-mini,LabA,Lab-A,1272,0.39427142974590257,0.3608490566037736,0.42786182735544553,0.09360742546126126,0.9187116317404141,0.39559283431556835,0.14993614619054688,0.39295508059366974,0.46468825762773885,0.7145658263305321,0.34523809523809523,0.24183006535947713,0.04854368932038835,0.20383474261978934,,0.5230263157894737,0.37520350176624173,0.3702928870292887,0.45876617462295216,0.24,0.9226666666666666,0.26011560693641617,0.6826666666666666,944.88,1.35,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabA/results_analyzed_vllm_en_20260330_112224.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabA/results_analyzed_vllm_en_20260330_112224.json
GPT-4o-mini,LabB,Lab-B,2157,0.39016213529426325,0.3574408901251738,0.42423721796216274,0.10718018367338987,0.9252244486928152,0.4327235885113254,0.1623219772700954,0.4281841104803238,0.45754557234149074,0.8994152046783626,0.48627450980392156,0.16027088036117382,0.096875,0.25046742939600086,,0.4672268907563025,0.44316658071170706,0.326036866359447,0.47010070985480823,0.1681260945709282,0.8493870402802102,0.1979381443298969,0.681260945709282,2273.81,0.95,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabB/results_analyzed_vllm_en_20260330_113809.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabB/results_analyzed_vllm_en_20260330_113809.json
GPT-4o-mini,LabC,Lab-C,2674,0.2855990046267999,0.25093492894540015,0.3154163411703626,0.06343017930566627,0.9234968793196026,0.3335876686105584,0.11943992992774202,0.3303435942295834,0.44748857227220723,0.5214895389337579,0.1905712588065529,0.12683438155136267,0.03225806451612903,0.28459778316921175,,0.24407582938388625,0.35644791030051853,0.2837489251934652,0.3132383309953171,0.1793478260869565,0.7644927536231884,0.23459715639810427,0.5851449275362318,3278.1,0.82,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabC/results_analyzed_vllm_en_20260330_121604.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabC/results_analyzed_vllm_en_20260330_121604.json
GPT-4o-mini,LabD,Lab-D,3370,0.2231745897164974,0.20118694362017805,0.2689561571150709,0.04939825664018505,0.9220098987531238,0.2865768045523269,0.08867000092875786,0.28417414738953445,0.4197751370056642,0.4299818887757777,0.1515527950310559,0.09595654797827399,0.057029926595143984,0.2774211502782931,,0.17994858611825193,0.310891089787426,0.22032786885245903,0.2327997041025573,0.17446043165467626,0.7392086330935251,0.2360097323600973,0.5647482014388489,4705.03,0.72,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabD/results_analyzed_vllm_en_20260330_131043.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-4o-mini/LabD/results_analyzed_vllm_en_20260330_131043.json
GPT-OSS-20B,LabA,Lab-A,1272,0.46988868922831184,0.44339622641509435,0.49133645878928894,0.1189565041565365,0.9260980658373743,0.4380129393499793,0.17080647573262792,0.433722348738634,0.53030510955583,0.980952380952381,0.46825396825396826,0.19607843137254902,0.1262135922330097,0.2432873460910844,,0.6118421052631579,0.49782419495213226,0.40794979079497906,0.5682256551821769,0.23466666666666666,0.936,0.25071225071225073,0.7013333333333334,1038.47,1.22,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabA/results_analyzed_vllm_en_20260326_165101.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabA/results_analyzed_vllm_en_20260326_165101.json
GPT-OSS-20B,LabB,Lab-B,2157,0.41539505927544873,0.3903569772832638,0.43163504601367647,0.1075653697149518,0.9227156892494852,0.4434346555037571,0.15601359253587607,0.4380396804624725,0.49051169918516857,0.9824561403508771,0.5019607843137255,0.12641083521444696,0.24293154761904762,0.23032312925170068,,0.492436974789916,0.4670792504727523,0.35944700460829493,0.5176589803638985,0.13134851138353765,0.8493870402802102,0.15463917525773196,0.7180385288966725,2065.39,1.04,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabB/results_analyzed_vllm_en_20260326_170852.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabB/results_analyzed_vllm_en_20260326_170852.json
GPT-OSS-20B,LabC,Lab-C,2674,0.3150722835776353,0.28459237097980555,0.3335260525808125,0.06958142020137956,0.9206319235783508,0.3468301599807889,0.12218982184929236,0.34221179998718526,0.5035753651017223,0.8290068243556615,0.23971659251936067,0.09958071278825996,0.09032258064516129,0.24436396936396934,,0.3009478672985782,0.444577477373133,0.2751504729148753,0.3631023969305357,0.13043478260869565,0.8188405797101449,0.1592920353982301,0.6884057971014492,5087.84,0.53,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabC/results_analyzed_vllm_en_20260326_174318.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabC/results_analyzed_vllm_en_20260326_174318.json
GPT-OSS-20B,LabD,Lab-D,3370,0.24185811100915683,0.22462908011869437,0.260597783163676,0.05109209427975131,0.9090262256319516,0.2687493660728381,0.07775795253029581,0.2657509073150251,0.47270343084662514,0.6428571428571429,0.19054147433594074,0.08267954133977067,0.06862596576276322,0.23551948051948055,,0.2544987146529563,0.37563031008946324,0.1855737704918033,0.2740091805617834,0.07913669064748201,0.737410071942446,0.1073170731707317,0.658273381294964,7414.26,0.45,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabD/results_analyzed_vllm_en_20260327_125508.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/GPT-OSS-20B/LabD/results_analyzed_vllm_en_20260327_125508.json
Llama-3.1-8B,LabA,Lab-A,1272,0.23300888489567734,0.20204402515723272,0.26477768066645924,0.06557667290433629,0.895987925148985,0.2675781928811874,0.10028580978797494,0.2648003431104131,0.25287955720232375,0.6555555555555556,0.24603174603174602,0.05228758169934641,0.04854368932038835,0.13425307817831184,,0.2730263157894737,0.33948360893530605,0.14435146443514643,0.3170426996513953,0.032,0.22133333333333333,0.14457831325301204,0.18933333333333333,3933.97,0.32,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabA/results_analyzed_vllm_en_20260327_170310.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabA/results_analyzed_vllm_en_20260327_170310.json
Llama-3.1-8B,LabB,Lab-B,2157,0.2522665224334209,0.22067686601761707,0.2747817914027779,0.060136019768256534,0.9055673460138026,0.30147314110829476,0.10218950805230355,0.2976500067914191,0.2962516508434876,0.7844611528822055,0.34509803921568627,0.06320541760722348,0.046875,0.12631519274376415,,0.280672268907563,0.38529740416022007,0.16820276497695852,0.3411972817710523,0.005253940455341506,0.2679509632224168,0.0196078431372549,0.2626970227670753,3874.88,0.56,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabB/results_analyzed_vllm_en_20260327_XXXXXX.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabB/results_analyzed_vllm_en_20260327_XXXXXX.json
Llama-3.1-8B,LabC,Lab-C,2674,0.17775071634238337,0.15220643231114436,0.20493412847844703,0.03829764488843181,0.9030892639661245,0.23644178435281565,0.06677006704023708,0.2346551478992218,0.274473293120028,0.5499964088199382,0.10588235294117647,0.07337526205450734,0.05161290322580645,0.14696145124716553,,0.15639810426540285,0.3125821865748197,0.1358555460017197,0.22398935697433228,0.0,0.09239130434782608,0.0,0.09239130434782608,7122.81,0.38,en,legacy,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabC/results_analyzed_vllm_en_20260327_XXXXXX.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results_2/Llama-3.1-8B/LabC/results_analyzed_vllm_en_20260327_XXXXXX.json
