model,lab,lab_label,samples,type_aware_accuracy,exact_match,token_f1,bleu,bertscore_f1,rouge1,rouge2,rougeL,L1,L2,L3,L4,L5,map,numeric,number,set,text,duration_sec,throughput,source_path,analyzed_path
Foundation-Sec-8B,LabA,Lab-A,1251,0.23604164287617527,0.19104716227018384,0.2947764042981986,0.06748756033258642,0.9087091181203901,0.30599391305808,0.14178085464745024,0.293721259880529,0.23899752984767397,0.395578231292517,0.22116402116402117,0.2803030303030303,0.08737864077669903,0.2680685358255452,,0.20723684210526316,0.2887852791247047,0.20350109409190373,28.38,44.08,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabA/results_raw_vllm_20260322_183805.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabA/results_analyzed_vllm_20260322_183805.json
Foundation-Sec-8B,LabB,Lab-B,2157,0.26753832115445464,0.22531293463143254,0.33679051984812564,0.0798106115188837,0.9171418851041993,0.3610368414534817,0.13891703329500282,0.3505326355585317,0.2738163763673968,0.4544695071010861,0.3895424836601307,0.20316027088036118,0.1015625,0.25132086167800455,,0.29747899159663865,0.373457108475159,0.18202764976958524,60.27,35.79,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabB/results_raw_vllm_20260322_183056.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabB/results_analyzed_vllm_20260322_183056.json
Foundation-Sec-8B,LabC,Lab-C,2674,0.17193319281020109,0.14547494390426327,0.26492318678608096,0.055804408120187894,0.9127257982117076,0.27608099123179497,0.09749963451347343,0.2669720215311063,0.26227618434542116,0.34007676764394995,0.08287581699346405,0.08490566037735849,0.07096774193548387,0.22466450216450218,,0.14454976303317535,0.3117577367579647,0.12209802235597593,115.77,23.1,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabC/results_raw_vllm_20260322_183219.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabC/results_analyzed_vllm_20260322_183219.json
Foundation-Sec-8B,LabD,Lab-D,3370,0.13184861379965238,0.11275964391691394,0.22951148376958241,0.04594834336309262,0.9147833053188437,0.2323580489581778,0.08050448813953177,0.2216103980270504,0.25878811720668526,0.2663482350982351,0.11048371917937136,0.04465902232951117,0.037267080745341616,0.20633116883116884,,0.10025706940874037,0.29636331759937706,0.09114754098360656,196.88,17.12,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabD/results_raw_vllm_20260322_183415.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Foundation-Sec-8B/LabD/results_analyzed_vllm_20260322_183415.json
GPT-4o-mini,LabA,Lab-A,1264,0.3327594434398232,0.27927215189873417,0.34249321792834453,0.08806566342829024,0.9147539452850064,0.37201930877412476,0.19768932763635413,0.3575601831599359,0.3537157287157287,0.523931623931624,0.43253968253968256,0.10273972602739725,0.0849673202614379,0.5760347129506008,,0.23300970873786409,0.3736111111111111,0.30982905982905984,2445.87,0.52,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-4o-mini/LabA/results_raw_vllm_20260304_185920.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-4o-mini/LabA/results_analyzed_vllm_20260304_185920.json
GPT-OSS-20B,LabA,Lab-A,1251,0.5098245213353126,0.40207833733013587,0.4338609954070527,0.09018620014141103,0.9245748912020744,0.5049222038102906,0.23906806799707134,0.4897611908673175,0.5213119253465075,0.8190476190476191,0.6891534391534391,0.25,0.11650485436893204,0.7182910547396529,,0.6282894736842105,0.44369016536118366,0.437636761487965,447.12,2.8,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabA/results_raw_vllm_20260322_010511.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabA/results_analyzed_vllm_20260322_010511.json
GPT-OSS-20B,LabB,Lab-B,2157,0.45394868614618267,0.34909596662030595,0.3756589678230797,0.07845286201967443,0.9257710736882205,0.5074582524263387,0.2304247926239009,0.4950704556194204,0.5167269805024907,0.8437761069340016,0.7124183006535947,0.14221218961625282,0.21949404761904762,0.6022155225726654,,0.4504201680672269,0.46544610624033,0.4251152073732719,1094.84,1.97,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabB/results_raw_vllm_20260322_011333.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabB/results_analyzed_vllm_20260322_011333.json
GPT-OSS-20B,LabC,Lab-C,2674,0.3443243075688062,0.27599102468212416,0.3022356946983684,0.06764404595442716,0.9196426579331674,0.42067148993689,0.18308523077533137,0.41060102728492387,0.5155603379049485,0.7196581196581197,0.4407033031181638,0.10587002096436059,0.15483870967741936,0.585313258170401,,0.2902843601895735,0.4492966646966447,0.3069647463456578,2933.88,0.91,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabC/results_raw_vllm_20260322_013148.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabC/results_analyzed_vllm_20260322_013148.json
GPT-OSS-20B,LabD,Lab-D,3370,0.2766937957468212,0.22255192878338279,0.24605573558482038,0.054128324615105035,0.9078597039957075,0.35276207005569993,0.14432353911934384,0.3445715651938809,0.505258828940969,0.6666666666666667,0.4490413178503916,0.08026554013277007,0.15527950310559005,0.6489331303617019,,0.23736075407026563,0.4100510286545522,0.22557377049180327,7132.24,0.47,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabD/results_raw_vllm_20260322_151535.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/GPT-OSS-20B/LabD/results_analyzed_vllm_20260322_151535.json
Nemotron-Cascade-2-30B-A3B,LabA,Lab-A,1251,0.3937351705936838,0.2789768185451639,0.304730275445468,0.05826646632342617,0.8850349770080176,0.36328499757162735,0.1857024816927816,0.3514110111850702,0.4465360687983166,0.8285714285714286,0.4312169312169312,0.09848484848484848,0.02912621359223301,0.5566607328289571,,0.3848684210526316,0.412532637075718,0.34573304157549234,1532.18,0.82,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Nemotron-Cascade-2-30B-A3B/LabA/results_raw_vllm_20260322_212106.json,/home/kilab_pyj/codespace/GIA/Experiment/code/NetConfigQA2_2/results/Nemotron-Cascade-2-30B-A3B/LabA/results_analyzed_vllm_20260322_212106.json
