mode,family,method,model,lab,total,ta_acc,strict_ta_acc,l1,l2,l3,l4,l5,ok_acc,strict_nc,semantic_nc,compliance,raw_path
relaxed,cfg_only,masLLM_cfg,Mistral3-8B,LabA,1272,57.76,37.09,79.29,43.58,46.43,18.95,7.77,49.25,8.00,78.13,10.24,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labA/results_raw_mistral3_8b_20260408_120625.json
relaxed,cfg_only,masLLM_cfg,Mistral3-8B,LabB,2157,54.16,35.85,77.26,57.51,36.96,10.61,7.81,45.86,8.06,77.23,10.43,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labB/results_raw_mistral3_8b_20260408_123355.json
relaxed,cfg_only,masLLM_cfg,Mistral3-8B,LabC,2674,43.39,28.99,77.62,38.93,25.66,7.86,11.61,34.36,8.33,78.08,10.67,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labC/results_raw_mistral3_8b_20260408_102716.json
relaxed,cfg_only,masLLM_cfg,Mistral3-8B,LabD,3370,35.26,23.60,79.22,56.91,22.33,5.67,9.32,26.56,8.63,79.32,10.88,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labD/results_raw_mistral3_8b_20260408_145644.json
relaxed,tool_augmented,masLLM_mcp,Mistral3-8B,LabA,1272,78.39,58.26,78.50,88.57,79.10,70.59,80.58,76.04,15.73,84.00,18.73,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabA/netally_eval_direct_LabA_Research_Institute_DC_10nodes_20260423_224508.json
relaxed,tool_augmented,masLLM_mcp,Mistral3-8B,LabB,2157,79.50,59.75,79.47,94.74,81.31,80.36,66.41,75.83,15.06,89.67,16.80,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabB/results_raw_netally_20260423_143122.json
relaxed,tool_augmented,masLLM_mcp,Mistral3-8B,LabC,2674,75.41,60.01,79.31,82.67,75.82,77.25,29.68,71.94,14.13,88.77,15.92,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabC/netally_eval_direct_LabC_NCN_Security_L2VPN_30nodes_20260424_130543.json
relaxed,tool_augmented,masLLM_mcp,Mistral3-8B,LabD,3370,75.36,62.96,80.03,84.29,66.37,77.19,32.30,72.20,16.19,91.37,17.72,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabD/netally_eval_direct_masLLM_mcp_LabD_20260427_113334.json
relaxed,cfg_only,singleLLM_cfg,GPT-4o-mini,LabA,1272,53.66,34.25,76.14,74.54,28.17,12.42,11.65,40.31,19.73,85.60,23.05,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabA/results_raw_vllm_en_20260326_081401.json
relaxed,cfg_only,singleLLM_cfg,GPT-4o-mini,LabB,2157,50.44,33.84,68.55,74.74,50.59,6.55,10.94,41.93,11.38,74.08,15.37,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabB/results_raw_vllm_en_20260326_082035.json
relaxed,cfg_only,singleLLM_cfg,GPT-4o-mini,LabC,2674,33.73,23.48,63.65,65.04,10.77,4.09,0.65,25.86,14.31,63.95,22.38,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabC/results_raw_vllm_en_20260326_083253.json
relaxed,cfg_only,singleLLM_cfg,GPT-4o-mini,LabD,3370,25.00,17.62,58.27,42.17,10.30,3.44,4.41,18.54,12.95,57.73,22.43,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabD/results_raw_vllm_en_20260326_085554.json
relaxed,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabA,1272,60.94,40.50,78.84,98.57,42.46,24.84,13.59,55.87,3.73,73.07,5.11,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabA/results_raw_vllm_en_20260326_100514.json
relaxed,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabB,2157,36.44,22.21,51.22,73.92,29.93,3.16,0.86,26.42,10.51,64.27,16.35,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabB/results_raw_vllm_en_20260325_205105.json
relaxed,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabC,2674,26.50,16.21,48.43,57.60,23.34,0.84,1.94,18.21,8.51,58.33,14.60,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabC/results_raw_vllm_en_20260325_205618.json
relaxed,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabD,3370,18.51,11.03,43.30,60.00,18.42,0.60,0.03,12.18,5.22,50.54,10.32,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabD/results_raw_vllm_en_20260325_210443.json
relaxed,cfg_only,singleLLM_cfg,Llama-3.1-8B,LabA,1272,37.73,22.40,57.41,49.28,11.90,5.23,8.74,29.54,5.33,57.33,9.30,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Llama-3.1-8B/LabA/results_raw_vllm_en_20260325_193817.json
relaxed,cfg_only,singleLLM_cfg,Llama-3.1-8B,LabB,2157,42.81,29.04,60.04,49.94,43.14,2.26,7.89,38.30,3.33,55.34,6.01,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Llama-3.1-8B/LabB/results_raw_vllm_en_20260325_193946.json
relaxed,cfg_only,singleLLM_cfg,Llama-3.1-8B,LabC,2674,23.39,17.89,43.93,50.19,9.18,1.99,3.23,22.54,0.00,26.63,0.00,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Llama-3.1-8B/LabC/results_raw_vllm_en_20260325_194207.json
relaxed,cfg_only,singleLLM_cfg,Llama-3.1-8B,LabD,3370,19.18,14.97,44.76,52.69,7.75,1.99,6.32,17.71,1.08,26.62,4.05,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Llama-3.1-8B/LabD/results_raw_vllm_en_20260325_194817.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabA,1272,56.59,35.68,79.44,77.86,26.59,21.57,13.59,42.23,20.00,90.93,21.99,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabA/results_raw_vllm_en_20260325_202043.json
relaxed,cfg_only,singleLLM_cfg,Mistral3-8B,LabB,2157,55.25,36.80,74.17,89.10,51.37,9.26,18.87,44.69,14.89,84.59,17.60,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/Mistral3-8B/LabB/results_raw_vllm_en_20260325_202142.json
