mode,family,method,model,lab,total,ta_acc,strict_ta_acc,l1,l2,l3,l4,l5,ok_acc,strict_nc,semantic_nc,compliance,type_map,type_number,type_set,type_text,type_boolean,type_path,raw_path
strict,cfg_only,masLLM_cfg,Mistral3-8B,LabA,1272,37.09,37.09,41.39,43.58,46.43,18.95,7.77,49.25,8.00,78.13,10.24,25.79,50.99,43.91,25.31,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labA/results_raw_mistral3_8b_20260408_120625.json
strict,cfg_only,masLLM_cfg,Mistral3-8B,LabB,2157,35.85,35.85,46.25,57.51,36.96,10.61,7.81,45.86,8.06,77.23,10.43,24.16,45.21,41.06,28.00,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labB/results_raw_mistral3_8b_20260408_123355.json
strict,cfg_only,masLLM_cfg,Mistral3-8B,LabC,2674,28.99,28.99,47.33,38.93,25.66,7.86,11.61,34.36,8.33,78.08,10.67,22.88,31.16,41.39,22.53,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labC/results_raw_mistral3_8b_20260408_102716.json
strict,cfg_only,masLLM_cfg,Mistral3-8B,LabD,3370,23.60,23.60,48.30,56.91,22.33,5.67,9.32,26.56,8.63,79.32,10.88,24.90,23.99,40.06,17.38,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_cfg/mistral3_8b/labD/results_raw_mistral3_8b_20260408_145644.json
strict,tool_augmented,masLLM_mcp,Mistral3-8B,LabA,1272,58.26,58.26,41.61,88.57,79.10,70.59,80.58,76.04,15.73,84.00,18.73,54.45,68.42,46.18,62.34,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabA/netally_eval_direct_LabA_Research_Institute_DC_10nodes_20260423_224508.json
strict,tool_augmented,masLLM_mcp,Mistral3-8B,LabB,2157,59.75,59.75,46.03,94.74,81.31,80.36,66.41,75.83,15.06,89.67,16.80,49.34,69.58,46.33,63.25,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabB/results_raw_netally_20260423_143122.json
strict,tool_augmented,masLLM_mcp,Mistral3-8B,LabC,2674,60.01,60.01,46.89,82.67,75.82,77.25,29.68,71.94,14.13,88.77,15.92,50.23,72.99,44.46,58.81,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabC/netally_eval_direct_LabC_NCN_Security_L2VPN_30nodes_20260424_130543.json
strict,tool_augmented,masLLM_mcp,Mistral3-8B,LabD,3370,62.96,62.96,47.15,84.29,66.37,77.19,32.30,72.20,16.19,91.37,17.72,48.40,69.32,44.42,65.97,,,/home/sdlab08/projects/GIA/NetAlly/result2/masLLM_mcp_paper/masLLM_mistral3-8b_mcp/LabD/netally_eval_direct_masLLM_mcp_LabD_20260427_113334.json
strict,cfg_only,singleLLM_cfg,GPT-4o-mini,LabA,1272,34.25,34.25,40.55,74.54,28.17,12.42,11.65,40.31,19.73,85.60,23.05,19.38,36.84,34.95,35.36,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabA/results_raw_vllm_en_20260326_081401.json
strict,cfg_only,singleLLM_cfg,GPT-4o-mini,LabB,2157,33.84,33.84,40.45,74.74,50.59,6.55,10.94,41.93,11.38,74.08,15.37,26.64,36.97,41.45,28.00,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabB/results_raw_vllm_en_20260326_082035.json
strict,cfg_only,singleLLM_cfg,GPT-4o-mini,LabC,2674,23.48,23.48,42.09,65.04,10.77,4.09,0.65,25.86,14.31,63.95,22.38,28.09,20.85,31.40,21.24,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabC/results_raw_vllm_en_20260326_083253.json
strict,cfg_only,singleLLM_cfg,GPT-4o-mini,LabD,3370,17.62,17.62,38.68,42.17,10.30,3.44,4.41,18.54,12.95,57.73,22.43,27.42,14.40,27.00,15.87,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-4o-mini/LabD/results_raw_vllm_en_20260326_085554.json
strict,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabA,1272,40.50,40.50,41.37,98.57,42.46,24.84,13.59,55.87,3.73,73.07,5.11,23.47,61.18,46.74,26.15,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabA/results_raw_vllm_en_20260326_100514.json
strict,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabB,2157,22.21,22.21,27.12,73.92,29.93,3.16,0.86,26.42,10.51,64.27,16.35,24.88,0.00,46.79,21.31,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabB/results_raw_vllm_en_20260325_205105.json
strict,cfg_only,singleLLM_cfg,GPT-OSS-20B,LabC,2674,16.21,16.21,26.79,57.60,23.34,0.84,1.94,18.21,8.51,58.33,14.60,27.28,0.00,44.46,13.84,,,/home/sdlab08/projects/GIA/Experiment/code/NetConfigQA2_2/result_final/GPT-OSS-20B/LabC/results_raw_vllm_en_20260325_205618.json
